@relation 'train_set-weka.filters.unsupervised.attribute.Remove-R1-2,6,8-9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute home_score numeric
@attribute away_score numeric
@attribute strength_code {PP,EV,SH}
@attribute shot_distance numeric
@attribute shot_angle numeric
@attribute shot_outcome {SHOT,MISSED_SHOT,GOAL}

@data
1,3,EV,-0.518239,28.8,GOAL
0,0,EV,-0.886736,21,MISSED_SHOT
3,0,EV,-1.209689,9.5,SHOT
3,3,PP,0.951612,5.9,SHOT
0,1,EV,0.512727,33,SHOT
0,0,EV,-0.497536,43.3,SHOT
1,1,EV,-0.377464,49.6,SHOT
3,1,EV,-1.006808,5.2,SHOT
1,6,EV,1.03442,40.3,MISSED_SHOT
1,7,EV,-0.456132,9.5,SHOT
0,2,EV,-1.052353,45,SHOT
0,0,EV,0.968173,29.6,SHOT
1,1,EV,-0.990247,37.9,SHOT
4,1,EV,-1.085477,83.7,MISSED_SHOT
4,7,EV,-1.052353,135,SHOT
0,2,EV,-0.451992,70.8,SHOT
3,3,EV,-0.882596,0,SHOT
2,2,PP,-0.104196,58.7,MISSED_SHOT
4,4,PP,-0.567924,13.4,GOAL
1,0,EV,-0.389885,62.4,SHOT
0,1,EV,0.686624,39.5,MISSED_SHOT
3,3,EV,1.001297,19.7,SHOT
1,2,EV,-0.257392,49.2,SHOT
0,0,EV,-0.43543,46.6,SHOT
2,1,EV,-1.21383,90,SHOT
0,0,PP,-0.617609,78.7,SHOT
1,1,EV,-0.365043,10.9,SHOT
1,6,EV,-0.377464,46.5,SHOT
1,0,EV,-0.518239,52.1,SHOT
3,1,EV,0.761152,24.2,SHOT
2,3,EV,0.35125,34.8,SHOT
2,0,EV,-0.977826,20,SHOT
0,1,EV,1.121369,35.2,MISSED_SHOT
2,1,EV,0.276723,2.7,SHOT
0,0,EV,0.35125,62.9,SHOT
2,1,EV,0.690765,1.1,SHOT
1,3,EV,-1.160004,74.1,SHOT
5,1,PP,-0.062792,34.2,SHOT
0,0,EV,-0.439571,58.2,SHOT
0,0,PP,0.678344,14.6,SHOT
1,0,EV,-0.5348,26.6,MISSED_SHOT
4,4,EV,-0.754243,83.3,SHOT
0,0,EV,-0.849472,61.7,SHOT
0,0,EV,0.206335,46,MISSED_SHOT
1,3,PP,-0.924,4.4,SHOT
0,0,EV,1.245582,29.3,MISSED_SHOT
5,3,EV,-0.841192,36.9,SHOT
5,1,EV,0.185633,25.3,SHOT
0,0,EV,-0.7294,16.4,SHOT
0,0,EV,-1.068915,108.4,SHOT
2,1,EV,-1.197268,51.3,SHOT
2,3,EV,-0.522379,41.4,MISSED_SHOT
2,1,EV,-0.874315,50.7,SHOT
1,1,EV,-0.369183,52.7,MISSED_SHOT
3,1,EV,-1.226251,45,GOAL
0,0,EV,-0.716979,33.7,SHOT
7,3,EV,0.413357,22,SHOT
2,2,EV,1.477445,0.8,SHOT
0,2,SH,-0.278094,36.5,SHOT
1,2,PP,0.947471,19.1,SHOT
4,2,EV,0.968173,23.1,GOAL
1,2,EV,1.187616,27,MISSED_SHOT
1,1,EV,-0.882596,4.1,MISSED_SHOT
0,0,EV,-0.112477,27.3,MISSED_SHOT
1,0,EV,0.707327,23.6,MISSED_SHOT
0,3,EV,0.852241,28.9,MISSED_SHOT
1,0,EV,-0.62589,32.9,MISSED_SHOT
0,1,EV,-0.166303,26.6,SHOT
3,1,EV,-0.174583,3.7,SHOT
2,3,SH,4.508235,2.8,SHOT
0,0,PP,-0.758383,61.9,SHOT
1,1,PP,0.632799,37.8,MISSED_SHOT
1,2,EV,-0.957123,55,MISSED_SHOT
5,1,EV,-0.418868,56.3,MISSED_SHOT
